device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p-wifi,192-168-0-243-5000-unicef-index-html,firefox,475239.49715315324,728369.9959819821
nexus6p-wifi,192-168-0-243-5000-unicef-index-html,chrome,256236.25511711714,505658.0207747748
nexus6p-wifi,192-168-0-243-5000-live-index-html,firefox,404436.34949881467,609462.9099122807
nexus6p-wifi,192-168-0-243-5000-live-index-html,chrome,212159.68812233285,388641.39861308684
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-html,firefox,269389.0399715505,581053.9355974395
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-html,chrome,108363.65429320231,275505.12150672753
nexus6p-wifi,192-168-0-243-5000-zerodha-index-html,firefox,217626.42948079656,401100.8422475107
nexus6p-wifi,192-168-0-243-5000-zerodha-index-html,chrome,111911.78506306307,267598.2610990991
nexus6p-wifi,192-168-0-243-5000-fda-index-html,firefox,295613.0721261261,480041.8800900901
nexus6p-wifi,192-168-0-243-5000-fda-index-html,chrome,134310.02027027027,276738.17702702706
nexus6p-wifi,192-168-0-243-5000-asos-index-critical-html,firefox,744262.999274096,1136113.030187832
nexus6p-wifi,192-168-0-243-5000-asos-index-critical-html,chrome,438543.92781488335,776924.5981145256
nexus6p-wifi,192-168-0-243-5000-cnblogs-index-critical-html,firefox,293993.32066666667,543747.0037477477
nexus6p-wifi,192-168-0-243-5000-cnblogs-index-critical-html,chrome,181341.57187387382,332943.89607207204
nexus6p-wifi,192-168-0-243-5000-csdn-index-critical-html,firefox,316200.55765765766,641545.375927928
nexus6p-wifi,192-168-0-243-5000-csdn-index-critical-html,chrome,211921.14297297297,443200.52131531533
nexus6p-wifi,192-168-0-243-5000-bootstrap-index-critical-html,firefox,261139.77106306303,483437.8172432432
nexus6p-wifi,192-168-0-243-5000-bootstrap-index-critical-html,chrome,138079.11093693692,292812.7771711712
nexus6p-wifi,192-168-0-243-5000-arxiv-index-critical-html,firefox,184818.80394736843,402809.9801209104
nexus6p-wifi,192-168-0-243-5000-arxiv-index-critical-html,chrome,119916.32972972971,257431.3675675676
nexus6p-wifi,192-168-0-243-5000-applenews-index-html,firefox,387820.89729729726,694005.1067567568
nexus6p-wifi,192-168-0-243-5000-applenews-index-html,chrome,322491.51305120916,745564.4452702702
nexus6p-wifi,192-168-0-243-5000-shopify-index-html,firefox,398670.78394594596,710796.5021441441
