site,crit,browser,lt,fp,fcp,e
271,adsrvr,0,firefox,369,516,237,8.788313182
272,adsrvr,0,firefox,353,1224,211,5.2190560995
273,adsrvr,0,firefox,420,4995.5,254,10.890748177
274,adsrvr,0,firefox,432,596,244,5.4372362315
275,adsrvr,0,firefox,425,1585.1,244,8.2424100235
276,adsrvr,0,firefox,363,1711.8,226,8.0691877365
277,adsrvr,0,firefox,442,1711.8,261,5.8244106635
278,adsrvr,0,firefox,452,550.1,238,9.706720391
279,adsrvr,0,firefox,395,1367.7,256,6.934788312
280,adsrvr,0,firefox,474,743.2,274,11.904632132
281,stackexhange,0,chrome,1127,1496.7,1496.7,4.588869855
282,stackexhange,0,chrome,1081,1475.1,1475.1,5.744876541
283,stackexhange,0,chrome,1083,1460.7,1460.7,4.870252217
284,stackexhange,0,chrome,1135,1534.7,1534.7,4.491511356
285,stackexhange,0,chrome,1114,1496.7,1496.7,8.7529036205
286,stackexhange,0,chrome,1094,1518.7,1518.7,5.508995556
287,stackexhange,0,chrome,1189,1566,1566,8.267705215
288,stackexhange,0,chrome,1079,1456,1456,4.829414641
289,stackexhange,0,chrome,1109,1483.5,1483.5,6.397711793
290,stackexhange,0,chrome,1116,1488.6,1488.6,2.5439773565
291,stackexhange,0,firefox,1113,516,922,18.327238659
292,stackexhange,0,firefox,1085,1822.5,823,10.964770931
293,stackexhange,0,firefox,1167,1733.4,978,13.00625602
294,stackexhange,0,firefox,1238,1598.1,1048,9.1920091605
295,stackexhange,0,firefox,1364,1049,1181,8.296885261
296,stackexhange,0,firefox,1073,825,906,11.872245582
297,stackexhange,0,firefox,1084,2070.5,816,21.2457993815
298,stackexhange,0,firefox,1058,1411.4,874,14.423616433
299,stackexhange,0,firefox,1134,531.6,969,9.339040718
300,stackexhange,0,firefox,1124,681.3,961,13.6776317845
301,statcounter,0,chrome,1261,957.9,957.9,4.5363503745
302,statcounter,0,chrome,1225,1070.6,1070.6,4.743215071
303,statcounter,0,chrome,1206,1154,1154,6.4541311575
304,statcounter,0,chrome,1262,1129,1129,4.6916643895
305,statcounter,0,chrome,1361,1319.5,1319.5,3.917631605
306,statcounter,0,chrome,1223,956.6,956.6,3.446534477
307,statcounter,0,chrome,1173,1057.8,1057.8,3.75296425
308,statcounter,0,chrome,1203,1143.2,1143.2,2.7344049015
309,statcounter,0,chrome,2144,1100.1,1100.1,4.3504392795
310,statcounter,0,chrome,1262,1201.9,1201.9,4.6872030295
311,statcounter,0,firefox,1178,851.5,488,15.465884162
312,statcounter,0,firefox,1387,905.3,787,7.6987984075
313,statcounter,0,firefox,2110,949.7,626,8.0083473585
314,statcounter,0,firefox,1306,1226.7,659,6.8712257565
315,statcounter,0,firefox,2321,1359.7,947,7.432006828
316,statcounter,0,firefox,2364,2487.1,767,4.919280635
317,statcounter,0,firefox,1371,1730.3,757,9.7065008375
318,statcounter,0,firefox,1490,1390.2,644,7.83339827
319,statcounter,0,firefox,1306,860.7,612,12.59423263
320,statcounter,0,firefox,1252,1055.8,620,16.1349541485
321,stumpleupon,0,chrome,290,590.7,590.7,4.0440996265
322,stumpleupon,0,chrome,293,690.1,690.1,6.093866552
323,stumpleupon,0,chrome,330,616.1,616.1,6.428303032
324,stumpleupon,0,chrome,272,658,658,12.136724941
325,stumpleupon,0,chrome,336,637.4,637.4,4.9242319005
326,stumpleupon,0,chrome,292,622.9,622.9,4.849596796
327,stumpleupon,0,chrome,304,574.3,574.3,7.2058530495
328,stumpleupon,0,chrome,301,614.2,614.2,7.0239670395
329,stumpleupon,0,chrome,364,679.4,679.4,6.402007798
330,stumpleupon,0,chrome,317,636.8,636.8,5.3041921145
331,stumpleupon,0,firefox,224,647.2,219,25.5631274855
332,stumpleupon,0,firefox,355,1258.5,340,23.261828861
333,stumpleupon,0,firefox,240,1451.1,221,28.9989264655
334,stumpleupon,0,firefox,266,1329.8,263,22.7771699655
335,stumpleupon,0,firefox,327,1822.6,267,24.8408676745
336,stumpleupon,0,firefox,266,1295,250,33.1196741935
337,stumpleupon,0,firefox,230,1052.8,225,24.401200205
338,stumpleupon,0,firefox,585,1359.7,570,25.1677605395
339,stumpleupon,0,firefox,298,1794.4,254,24.2464811155
340,stumpleupon,0,firefox,258,2197.6,242,27.651597272
359,drupal,0,chrome,2557,1051.8,1051.8,35.1951454105
360,drupal,0,chrome,2512,1083.8,1083.8,35.3007155985
361,drupal,0,chrome,2479,1047.1,1047.1,11.4452866135
362,drupal,0,chrome,2504,846.6,846.6,30.7137982895
363,drupal,0,chrome,2483,1059.5,1059.5,32.3900965185
364,drupal,0,chrome,2570,874.5,874.5,36.419370274
365,drupal,0,chrome,2578,1076.5,1076.5,36.5819166085
366,drupal,0,chrome,2542,888.7,888.7,38.7808240065
367,drupal,0,chrome,2500,996.8,996.8,28.4926468445
368,drupal,0,chrome,2471,1002,1002,13.5569600355
369,drupal,0,firefox,2134,1082.7,853,46.3168842085
370,drupal,0,firefox,2924,640.4,1978,32.3083541435
371,drupal,0,firefox,1887,725.5,922,28.86445152
372,drupal,0,firefox,1624,1291.1,879,37.8041070835
373,drupal,0,firefox,2212,941,956,32.5005260135
374,drupal,0,firefox,2745,2004.2,1386,41.1969650265
375,drupal,0,firefox,1792,1052.8,891,28.5162979475
376,drupal,0,firefox,3599,825,2001,23.840893842
377,drupal,0,firefox,3054,2190,1381,33.7175233725
378,drupal,0,firefox,2460,1456,910,32.252515847
379,shopify,1,chrome,1106,1050.8,1050.8,6.979961313
380,shopify,1,chrome,1150,1084.5,1084.5,11.963975387
381,shopify,1,chrome,1062,913.5,913.5,14.2950786895
382,shopify,1,chrome,1006,870.8,870.8,7.4396890765
383,shopify,1,chrome,1177,1039.8,1039.8,12.666859837
384,shopify,1,chrome,1117,1044.2,1044.2,13.228205418
385,shopify,1,chrome,1027,857.8,857.8,14.3766109945
386,shopify,1,chrome,992,860.7,860.7,11.522914534
387,shopify,1,chrome,1088,945.2,945.2,9.3645018285
388,shopify,1,chrome,1004,871.5,871.5,11.5061211845
389,shopify,1,firefox,2362,500.3,1728,21.881108999
390,shopify,1,firefox,4717,757.6,4442,11.13915447
391,shopify,1,firefox,3489,2062.1,2830,12.510478605
392,shopify,1,firefox,3574,2519.8,3048,15.0120634335
393,shopify,1,firefox,4555,2125.9,3756,14.8569548595
394,shopify,1,firefox,4183,826.1,3157,22.584369206
395,shopify,1,firefox,4180,1557.4,3051,22.766103316
396,shopify,1,firefox,4426,1782.8,3809,14.00011224
397,shopify,1,firefox,4513,485.5,3898,19.3005561485
398,shopify,1,firefox,4246,756.6,3537,8.9688331935
419,stumpleupon,1,chrome,273,592.7,592.7,6.1921178855
420,stumpleupon,1,chrome,311,640.4,640.4,10.0805623055
421,stumpleupon,1,chrome,295,652.8,652.8,5.7678637465
422,stumpleupon,1,chrome,270,585,585,11.1014270585
423,stumpleupon,1,chrome,357,681.4,681.4,6.183261922
424,stumpleupon,1,chrome,312,668.1,668.1,5.264137114
425,stumpleupon,1,chrome,566,1139.2,1139.2,7.846333085
426,stumpleupon,1,chrome,311,588.7,588.7,5.632273459
427,stumpleupon,1,chrome,302,610.1,610.1,9.979264961
428,stumpleupon,1,chrome,306,624.3,624.3,8.134211695
429,stumpleupon,1,firefox,302,1107.2,295,31.576367625
